first_name,last_name,email,position,graduation_year,interests,status,phone_number,age,major
Sydel,Vines,Sydel.Vines@northeastern.edu,,2029,Ch,Inactive,600-161-5914,25,Fi
Cos,Spurryer,Cos.Spurryer@northeastern.edu,,2027,CS,Inactive,334-465-3697,23,BA
Gerri,Antunez,Gerri.Antunez@northeastern.edu,,2030,Nu,Inactive,489-387-2341,26,ES
Dorotea,Maddison,Dorotea.Maddison@northeastern.edu,,2029,Ac,Activeee,607-280-9273,25,Bi
Lissa,Bensusan,Lissa.Bensusan@northeastern.edu,93-524,2028,Ps,Activeee,406-638-2907,24,ME
Oliver,Desorts,Oliver.Desorts@northeastern.edu,35620-000,2029,EL,Activeee,800-469-4810,25,PS
Lacy,Dowtry,Lacy.Dowtry@northeastern.edu,4207,2029,IT,Pendingg,452-838-8527,25,Ed
Rutledge,Leal,Rutledge.Leal@northeastern.edu,,2024,ME,Pendingg,304-839-2610,20,Nu
Fulvia,Duck,Fulvia.Duck@northeastern.edu,6414,2027,Fi,Officerr,646-751-7200,23,Ch
Ina,Cusack,Ina.Cusack@northeastern.edu,,2027,CE,Activeee,213-162-8015,23,Bi
Bartlett,Maraga,Bartlett.Maraga@northeastern.edu,102471,2025,Ac,Officerr,619-790-1268,21,ME
Raynor,Hyndley,Raynor.Hyndley@northeastern.edu,940028,2028,Ma,Activeee,641-598-3364,24,EE
Elsy,Haversham,Elsy.Haversham@northeastern.edu,5021,2029,Bi,Inactive,369-111-3101,25,CS
Conant,Toe,Conant.Toe@northeastern.edu,,2029,ME,Officerr,700-950-9313,25,EL
Sharlene,Polo,Sharlene.Polo@northeastern.edu,,2028,Ed,Pendingg,318-832-1934,24,Ma
Hilliary,Martusewicz,Hilliary.Martusewicz@northeastern.edu,,2027,Ma,Officerr,733-387-5673,23,EL
Lucais,Gowling,Lucais.Gowling@northeastern.edu,157650,2024,PS,Activeee,159-586-0674,20,Ac
Nickey,Hulkes,Nickey.Hulkes@northeastern.edu,624088,2027,Ch,Inactive,958-828-1711,23,CS
Quincey,Carlos,Quincey.Carlos@northeastern.edu,7050-511,2029,Bi,Activeee,471-996-4041,25,Ma
Maggi,Barensky,Maggi.Barensky@northeastern.edu,152247,2024,ES,Inactive,377-239-8709,20,CE
Micky,Neeves,Micky.Neeves@northeastern.edu,9488,2025,PS,Pendingg,598-649-4217,21,Fi
Beverie,Siggery,Beverie.Siggery@northeastern.edu,,2024,EL,Officerr,266-847-3472,20,EL
Aubert,Rivard,Aubert.Rivard@northeastern.edu,8505,2029,Ma,Inactive,664-982-5279,25,PS
Lory,Stringfellow,Lory.Stringfellow@northeastern.edu,,2029,Ac,Inactive,326-514-0943,25,IT
Maudie,Dudmarsh,Maudie.Dudmarsh@northeastern.edu,85732,2028,Fi,Pendingg,520-427-2541,24,Nu
