first_name,last_name,status,email,memberID,phone_number,position
Emylee,Yakobovicz,Activeee,Emylee.Yakobovicz@northeastern.edu,01HVFCDXMSYJF5PVD9GCBW7R6D,231-165-6376,
Nevsa,Brittan,Inactive,Nevsa.Brittan@northeastern.edu,01HVFCDXMVSWE4GVYD60RSDV70,409-725-8600,F45
Zulema,Wickendon,Activeee,Zulema.Wickendon@northeastern.edu,01HVFCDXMXRSSRSW26RRD02KMS,228-933-4770,4158
Novelia,Yakovich,Activeee,Novelia.Yakovich@northeastern.edu,01HVFCDXMZBRM63Q815TKK4HVW,891-411-7415,18800-000
Welsh,Lattos,Inactive,Welsh.Lattos@northeastern.edu,01HVFCDXN1QT636DJZ2VTMH0RA,555-668-0447,
Georges,Binny,Officerr,Georges.Binny@northeastern.edu,01HVFCDXN37G85ZH1ETJG4W7SF,205-664-8095,1697
Hy,Dionis,Pendingg,Hy.Dionis@northeastern.edu,01HVFCDXN5BEZDY7J070C2QQJR,483-272-0426,
Alane,Fellow,Activeee,Alane.Fellow@northeastern.edu,01HVFCDXN78RAW3BRFRJ6306RJ,694-762-2543,
Lexi,Gaynesford,Pendingg,Lexi.Gaynesford@northeastern.edu,01HVFCDXN93DC0R7WAZHP745ZT,473-234-3525,
Winifield,Barsham,Officerr,Winifield.Barsham@northeastern.edu,01HVFCDXNB3J53ANVENRCQP32Y,748-564-8240,
Doll,Lamborn,Pendingg,Doll.Lamborn@northeastern.edu,01HVFCDXNDW8PAW2V027PA4HTB,831-826-9401,
Concettina,Fellibrand,Officerr,Concettina.Fellibrand@northeastern.edu,01HVFCDXNFGBMET98FPN8498Z7,352-807-1477,
Mada,Dittson,Inactive,Mada.Dittson@northeastern.edu,01HVFCDXNH9JBZEEND6VB6V5CR,164-938-8299,141880
Leontine,Bread,Activeee,Leontine.Bread@northeastern.edu,01HVFCDXNKBPPKWY3JA57PPH1G,844-430-2898,3706
Humphrey,Atty,Officerr,Humphrey.Atty@northeastern.edu,01HVFCDXNNTX972ZV07GHVE8V8,788-637-6615,
Nolly,Sunners,Pendingg,Nolly.Sunners@northeastern.edu,01HVFCDXNP6M4B709P32G87F8B,893-743-4822,
Quinton,Giffard,Officerr,Quinton.Giffard@northeastern.edu,01HVFCDXNS2KDVTN6686YEG0WS,851-680-4071,
Elise,Camplin,Officerr,Elise.Camplin@northeastern.edu,01HVFCDXNVYMNY20JJWHC8X4MC,363-800-3756,
Nichole,Saines,Activeee,Nichole.Saines@northeastern.edu,01HVFCDXNXNJNCQTG8JMAZEHA8,866-142-1492,3116
Hersch,Arnolds,Activeee,Hersch.Arnolds@northeastern.edu,01HVFCDXNZ4B4P0ESD0CSMJJBX,732-172-3160,
Augusta,O'Crevy,Activeee,Augusta.O'Crevy@northeastern.edu,01HVFCDXP1PYSE8V66XNYTK296,177-951-5096,368792
Norri,Savins,Inactive,Norri.Savins@northeastern.edu,01HVFCDXP2X90ZS5RCQNJERTXB,991-786-3788,
Joelynn,Trime,Officerr,Joelynn.Trime@northeastern.edu,01HVFCDXP5NQB4N79MEPJK9NVZ,822-142-8280,
Cassie,Gregh,Officerr,Cassie.Gregh@northeastern.edu,01HVFCDXP63ZRZ3XA0TJRQF74T,919-778-4395,999-0141
Dylan,Dorricott,Pendingg,Dylan.Dorricott@northeastern.edu,01HVFCDXP9843XC2PA6T6M2GKJ,143-222-2857,
Roldan,Bagster,Inactive,Roldan.Bagster@northeastern.edu,01HVFCDXPAR3RH84ZYK2ZK2FEJ,247-393-6862,
Meriel,Artin,Officerr,Meriel.Artin@northeastern.edu,01HVFCDXPC1CRMSKAY7DSSRMSV,809-361-3776,
Leone,Woodman,Inactive,Leone.Woodman@northeastern.edu,01HVFCDXPE89YPD32BHMKRS3JJ,961-804-2225,
Temp,Sheehan,Officerr,Temp.Sheehan@northeastern.edu,01HVFCDXPHVWW6KZNDDMPPQ9YV,696-674-1201,39-410
Wilfred,Greenman,Pendingg,Wilfred.Greenman@northeastern.edu,01HVFCDXPK6A58TH769R8RNYSM,556-111-7811,
Dionis,Bocken,Pendingg,Dionis.Bocken@northeastern.edu,01HVFCDXPNJAEAC6BYNVV015W2,603-312-0254,
Gay,Brewster,Officerr,Gay.Brewster@northeastern.edu,01HVFCDXPQ7EQHE6X2MFGTV0ET,923-403-8970,
